symbol,exchange,missing_date,missing_type
000906,,2025-11-28,WINDOW_START
000908,,2025-11-28,WINDOW_START
000909,,2025-11-28,WINDOW_START
000910,,2025-11-28,WINDOW_START
000911,,2025-11-28,WINDOW_START
000912,,2025-11-28,WINDOW_START
000913,,2025-11-28,WINDOW_START
000915,,2025-11-28,WINDOW_START
000917,,2025-11-28,WINDOW_START
000919,,2025-11-28,WINDOW_START
000920,,2025-11-28,WINDOW_START
000921,,2025-11-28,WINDOW_START
000922,,2025-11-28,WINDOW_START
000923,,2025-11-28,WINDOW_START
000925,,2025-11-28,WINDOW_START
000926,,2025-11-28,WINDOW_START
000927,,2025-11-28,WINDOW_START
000928,,2025-11-28,WINDOW_START
000929,,2025-11-28,WINDOW_START
000930,,2025-11-28,WINDOW_START
000931,,2025-11-28,WINDOW_START
000932,,2025-11-28,WINDOW_START
000933,,2025-11-28,WINDOW_START
000935,,2025-11-28,WINDOW_START
000936,,2025-11-28,WINDOW_START
000937,,2025-11-28,WINDOW_START
000938,,2025-11-28,WINDOW_START
000948,,2025-11-28,WINDOW_START
000949,,2025-11-28,WINDOW_START
000950,,2025-11-28,WINDOW_START
000951,,2025-11-28,WINDOW_START
000952,,2025-11-28,WINDOW_START
000953,,2025-11-28,WINDOW_START
000955,,2025-11-28,WINDOW_START
000957,,2025-11-28,WINDOW_START
000958,,2025-11-28,WINDOW_START
000959,,2025-11-28,WINDOW_START
000960,,2025-11-28,WINDOW_START
000962,,2025-11-28,WINDOW_START
000963,,2025-11-28,WINDOW_START
000965,,2025-11-28,WINDOW_START
000966,,2025-11-28,WINDOW_START
000967,,2025-11-28,WINDOW_START
000968,,2025-11-28,WINDOW_START
000969,,2025-11-28,WINDOW_START
000970,,2025-11-28,WINDOW_START
000972,,2025-11-28,WINDOW_START
000973,,2025-11-28,WINDOW_START
000975,,2025-11-28,WINDOW_START
000977,,2025-11-28,WINDOW_START
000978,,2025-11-28,WINDOW_START
000980,,2025-11-28,WINDOW_START
000981,,2025-11-28,WINDOW_START
000983,,2025-11-28,WINDOW_START
000985,,2025-11-28,WINDOW_START
000987,,2025-11-28,WINDOW_START
000988,,2025-11-28,WINDOW_START
000989,,2025-11-28,WINDOW_START
000990,,2025-11-28,WINDOW_START
000993,,2025-11-28,WINDOW_START
000995,,2025-11-28,WINDOW_START
000997,,2025-11-28,WINDOW_START
000998,,2025-11-28,WINDOW_START
000999,,2025-11-28,WINDOW_START
001201,,2025-11-28,WINDOW_START
001202,,2025-11-28,WINDOW_START
001203,,2025-11-28,WINDOW_START
001205,,2025-11-28,WINDOW_START
001206,,2025-11-28,WINDOW_START
001207,,2025-11-28,WINDOW_START
001208,,2025-11-28,WINDOW_START
001209,,2025-11-28,WINDOW_START
001210,,2025-11-28,WINDOW_START
001211,,2025-11-28,WINDOW_START
001212,,2025-11-28,WINDOW_START
001213,,2025-11-28,WINDOW_START
001215,,2025-11-28,WINDOW_START
001216,,2025-11-28,WINDOW_START
001217,,2025-11-28,WINDOW_START
001218,,2025-11-28,WINDOW_START
001219,,2025-11-28,WINDOW_START
001221,,2025-11-28,WINDOW_START
001222,,2025-11-28,WINDOW_START
001223,,2025-11-28,WINDOW_START
001225,,2025-11-28,WINDOW_START
001226,,2025-11-28,WINDOW_START
001227,,2025-11-28,WINDOW_START
001228,,2025-11-28,WINDOW_START
001229,,2025-11-28,WINDOW_START
001230,,2025-11-28,WINDOW_START
001231,,2025-11-28,WINDOW_START
001233,,2025-11-28,WINDOW_START
001234,,2025-11-28,WINDOW_START
001236,,2025-11-28,WINDOW_START
001238,,2025-11-28,WINDOW_START
001239,,2025-11-28,WINDOW_START
001255,,2025-11-28,WINDOW_START
001256,,2025-11-28,WINDOW_START
001258,,2025-11-28,WINDOW_START
001259,,2025-11-28,WINDOW_START
001260,,2025-11-28,WINDOW_START
001266,,2025-11-28,WINDOW_START
001267,,2025-11-28,WINDOW_START
001268,,2025-11-28,WINDOW_START
001269,,2025-11-28,WINDOW_START
001270,,2025-11-28,WINDOW_START
001277,,2025-11-28,WINDOW_START
001278,,2025-11-28,WINDOW_START
001279,,2025-11-28,WINDOW_START
001280,,2025-11-28,WINDOW_START
001282,,2025-11-28,WINDOW_START
001283,,2025-11-28,WINDOW_START
001285,,2025-11-28,WINDOW_START
001286,,2025-11-28,WINDOW_START
001287,,2025-11-28,WINDOW_START
001288,,2025-11-28,WINDOW_START
001289,,2025-11-28,WINDOW_START
001296,,2025-11-28,WINDOW_START
001298,,2025-11-28,WINDOW_START
001299,,2025-11-28,WINDOW_START
001300,,2025-11-28,WINDOW_START
001301,,2025-11-28,WINDOW_START
001306,,2025-11-28,WINDOW_START
001308,,2025-11-28,WINDOW_START
001309,,2025-11-28,WINDOW_START
001311,,2025-11-28,WINDOW_START
001313,,2025-11-28,WINDOW_START
001314,,2025-11-28,WINDOW_START
001316,,2025-11-28,WINDOW_START
001317,,2025-11-28,WINDOW_START
001318,,2025-11-28,WINDOW_START
001319,,2025-11-28,WINDOW_START
001322,,2025-11-28,WINDOW_START
001323,,2025-11-28,WINDOW_START
001324,,2025-11-28,WINDOW_START
001326,,2025-11-28,WINDOW_START
001328,,2025-11-28,WINDOW_START
001330,,2025-11-28,WINDOW_START
001331,,2025-11-28,WINDOW_START
001332,,2025-11-28,WINDOW_START
001333,,2025-11-28,WINDOW_START
001335,,2025-11-28,WINDOW_START
001336,,2025-11-28,WINDOW_START
001337,,2025-11-28,WINDOW_START
001338,,2025-11-28,WINDOW_START
001339,,2025-11-28,WINDOW_START
001356,,2025-11-28,WINDOW_START
001358,,2025-11-28,WINDOW_START
001359,,2025-11-28,WINDOW_START
001360,,2025-11-28,WINDOW_START
001366,,2025-11-28,WINDOW_START
001367,,2025-11-28,WINDOW_START
001368,,2025-11-28,WINDOW_START
001373,,2025-11-28,WINDOW_START
001376,,2025-11-28,WINDOW_START
001378,,2025-11-28,WINDOW_START
001379,,2025-11-28,WINDOW_START
001380,,2025-11-28,WINDOW_START
001382,,2025-11-28,WINDOW_START
001386,,2025-11-28,WINDOW_START
001387,,2025-11-28,WINDOW_START
001388,,2025-11-28,WINDOW_START
001389,,2025-11-28,WINDOW_START
001390,,2025-11-28,WINDOW_START
001391,,2025-11-28,WINDOW_START
001395,,2025-11-28,WINDOW_START
001400,,2025-11-28,WINDOW_START
001696,,2025-11-28,WINDOW_START
001872,,2025-11-28,WINDOW_START
001896,,2025-11-28,WINDOW_START
001914,,2025-11-28,WINDOW_START
001965,,2025-11-28,WINDOW_START
001979,,2025-11-28,WINDOW_START
002001,,2025-11-28,WINDOW_START
002003,,2025-11-28,WINDOW_START
002004,,2025-11-28,WINDOW_START
002005,,2025-11-28,WINDOW_START
002006,,2025-11-28,WINDOW_START
002007,,2025-11-28,WINDOW_START
002008,,2025-11-28,WINDOW_START
002009,,2025-11-28,WINDOW_START
002010,,2025-11-28,WINDOW_START
002011,,2025-11-28,WINDOW_START
002012,,2025-11-28,WINDOW_START
002014,,2025-11-28,WINDOW_START
002015,,2025-11-28,WINDOW_START
002016,,2025-11-28,WINDOW_START
002017,,2025-11-28,WINDOW_START
002019,,2025-11-28,WINDOW_START
002020,,2025-11-28,WINDOW_START
002021,,2025-11-28,WINDOW_START
002022,,2025-11-28,WINDOW_START
002023,,2025-11-28,WINDOW_START
002024,,2025-11-28,WINDOW_START
002025,,2025-11-28,WINDOW_START
002026,,2025-11-28,WINDOW_START
002027,,2025-11-28,WINDOW_START
002028,,2025-11-28,WINDOW_START
002029,,2025-11-28,WINDOW_START
002030,,2025-11-28,WINDOW_START
002031,,2025-11-28,WINDOW_START
002032,,2025-11-28,WINDOW_START
002033,,2025-11-28,WINDOW_START
002034,,2025-11-28,WINDOW_START
002035,,2025-11-28,WINDOW_START
002036,,2025-11-28,WINDOW_START
002037,,2025-11-28,WINDOW_START
002038,,2025-11-28,WINDOW_START
002039,,2025-11-28,WINDOW_START
002040,,2025-11-28,WINDOW_START
002041,,2025-11-28,WINDOW_START
002042,,2025-11-28,WINDOW_START
002043,,2025-11-28,WINDOW_START
002044,,2025-11-28,WINDOW_START
002045,,2025-11-28,WINDOW_START
002046,,2025-11-28,WINDOW_START
002047,,2025-11-28,WINDOW_START
002048,,2025-11-28,WINDOW_START
002049,,2025-11-28,WINDOW_START
002050,,2025-11-28,WINDOW_START
002051,,2025-11-28,WINDOW_START
002052,,2025-11-28,WINDOW_START
002053,,2025-11-28,WINDOW_START
002054,,2025-11-28,WINDOW_START
002055,,2025-11-28,WINDOW_START
002056,,2025-11-28,WINDOW_START
002057,,2025-11-28,WINDOW_START
002058,,2025-11-28,WINDOW_START
002059,,2025-11-28,WINDOW_START
002060,,2025-11-28,WINDOW_START
002061,,2025-11-28,WINDOW_START
002062,,2025-11-28,WINDOW_START
002063,,2025-11-28,WINDOW_START
002064,,2025-11-28,WINDOW_START
002065,,2025-11-28,WINDOW_START
002066,,2025-11-28,WINDOW_START
002067,,2025-11-28,WINDOW_START
002068,,2025-11-28,WINDOW_START
002069,,2025-11-28,WINDOW_START
002072,,2025-11-28,WINDOW_START
002073,,2025-11-28,WINDOW_START
002074,,2025-11-28,WINDOW_START
002075,,2025-11-28,WINDOW_START
002076,,2025-11-28,WINDOW_START
002077,,2025-11-28,WINDOW_START
002078,,2025-11-28,WINDOW_START
002079,,2025-11-28,WINDOW_START
002080,,2025-11-28,WINDOW_START
002081,,2025-11-28,WINDOW_START
002082,,2025-11-28,WINDOW_START
002083,,2025-11-28,WINDOW_START
002084,,2025-11-28,WINDOW_START
002085,,2025-11-28,WINDOW_START
002086,,2025-11-28,WINDOW_START
002088,,2025-11-28,WINDOW_START
002090,,2025-11-28,WINDOW_START
002091,,2025-11-28,WINDOW_START
002092,,2025-11-28,WINDOW_START
