mainline_id,total_dates,tc_dates,dw_dates,tc_windows,persistence_label
857831.SI,28,0,25,0,BACKGROUND_ONLY_AFTER_POOL
857841.SI,35,0,26,0,BACKGROUND_ONLY_AFTER_POOL
857851.SI,26,0,16,0,BACKGROUND_ONLY_AFTER_POOL
858811.SI,47,0,45,0,BACKGROUND_ONLY_AFTER_POOL
858812.SI,33,0,31,0,BACKGROUND_ONLY_AFTER_POOL
859511.SI,32,0,27,0,BACKGROUND_ONLY_AFTER_POOL
859512.SI,64,0,61,0,BACKGROUND_ONLY_AFTER_POOL
859521.SI,42,0,41,0,BACKGROUND_ONLY_AFTER_POOL
859621.SI,12,0,11,0,BACKGROUND_ONLY_AFTER_POOL
859622.SI,27,0,25,0,BACKGROUND_ONLY_AFTER_POOL
859631.SI,28,0,28,0,BACKGROUND_ONLY_AFTER_POOL
859632.SI,31,0,27,0,BACKGROUND_ONLY_AFTER_POOL
859633.SI,48,1,41,1,PRECURSOR_THEN_SINGLE_COLLAPSE
859711.SI,34,0,34,0,BACKGROUND_ONLY_AFTER_POOL
859712.SI,74,0,38,0,BACKGROUND_ONLY_AFTER_POOL
859713.SI,59,0,37,0,BACKGROUND_ONLY_AFTER_POOL
859714.SI,63,1,62,1,PRECURSOR_THEN_SINGLE_COLLAPSE
859721.SI,61,1,38,1,PRECURSOR_THEN_SINGLE_COLLAPSE
859811.SI,25,0,23,0,BACKGROUND_ONLY_AFTER_POOL
859821.SI,29,0,28,0,BACKGROUND_ONLY_AFTER_POOL
859822.SI,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
859852.SI,52,0,52,0,BACKGROUND_ONLY_AFTER_POOL
859951.SI,57,0,51,0,BACKGROUND_ONLY_AFTER_POOL
BK0420,5,0,4,0,BACKGROUND_ONLY_AFTER_POOL
BK0422,12,0,12,0,BACKGROUND_ONLY_AFTER_POOL
BK0425,2,0,2,0,BACKGROUND_ONLY_AFTER_POOL
BK0433,8,0,7,0,BACKGROUND_ONLY_AFTER_POOL
BK0436,16,0,15,0,BACKGROUND_ONLY_AFTER_POOL
BK0438,11,0,6,0,BACKGROUND_ONLY_AFTER_POOL
BK0447,5,0,5,0,BACKGROUND_ONLY_AFTER_POOL
BK0450,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK0451,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK0454,14,1,11,1,PRECURSOR_THEN_SINGLE_COLLAPSE
BK0456,10,0,10,0,BACKGROUND_ONLY_AFTER_POOL
BK0458,2,0,2,0,BACKGROUND_ONLY_AFTER_POOL
BK0459,10,0,4,0,BACKGROUND_ONLY_AFTER_POOL
BK0470,7,0,5,0,BACKGROUND_ONLY_AFTER_POOL
BK0471,15,0,14,0,BACKGROUND_ONLY_AFTER_POOL
BK0476,4,0,2,0,BACKGROUND_ONLY_AFTER_POOL
BK0477,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK0478,10,0,10,0,BACKGROUND_ONLY_AFTER_POOL
BK0479,15,0,9,0,BACKGROUND_ONLY_AFTER_POOL
BK0480,13,0,13,0,BACKGROUND_ONLY_AFTER_POOL
BK0481,10,0,5,0,BACKGROUND_ONLY_AFTER_POOL
BK0482,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK0484,12,0,12,0,BACKGROUND_ONLY_AFTER_POOL
BK0485,7,0,7,0,BACKGROUND_ONLY_AFTER_POOL
BK0486,6,0,6,0,BACKGROUND_ONLY_AFTER_POOL
BK0538,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
BK0545,10,0,4,0,BACKGROUND_ONLY_AFTER_POOL
BK0546,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
BK0727,9,0,9,0,BACKGROUND_ONLY_AFTER_POOL
BK0728,9,0,9,0,BACKGROUND_ONLY_AFTER_POOL
BK0730,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
BK0731,4,0,4,0,BACKGROUND_ONLY_AFTER_POOL
BK0732,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK0737,16,1,5,1,PRECURSOR_THEN_SINGLE_COLLAPSE
BK0739,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
BK0910,16,0,7,0,BACKGROUND_ONLY_AFTER_POOL
BK1015,9,0,8,0,BACKGROUND_ONLY_AFTER_POOL
BK1018,12,0,10,0,BACKGROUND_ONLY_AFTER_POOL
BK1019,11,0,8,0,BACKGROUND_ONLY_AFTER_POOL
BK1020,5,0,4,0,BACKGROUND_ONLY_AFTER_POOL
BK1027,8,0,6,0,BACKGROUND_ONLY_AFTER_POOL
BK1028,15,0,15,0,BACKGROUND_ONLY_AFTER_POOL
BK1029,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
BK1032,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK1033,2,0,2,0,BACKGROUND_ONLY_AFTER_POOL
BK1034,3,0,3,0,BACKGROUND_ONLY_AFTER_POOL
BK1035,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
BK1036,5,0,5,0,BACKGROUND_ONLY_AFTER_POOL
BK1038,13,0,13,0,BACKGROUND_ONLY_AFTER_POOL
BK1040,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK1041,6,0,3,0,BACKGROUND_ONLY_AFTER_POOL
BK1043,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
BK1045,4,0,4,0,BACKGROUND_ONLY_AFTER_POOL
