symbol,missing_type,missing_date,missing_count
600200,WINDOW_START,2025-12-01,17
601059,WINDOW_START,2025-12-01,13
601198,WINDOW_START,2025-12-01,13
601995,WINDOW_START,2025-12-01,13
603248,WINDOW_START,2025-12-01,17
603843,WINDOW_START,2025-12-01,2
605255,WINDOW_START,2025-12-01,2
688051,WINDOW_START,2025-12-01,5
688536,WINDOW_START,2025-12-01,7
688766,WINDOW_START,2025-12-01,6
688790,WINDOW_START,2025-12-01,17
688795,WINDOW_START,2025-12-01,4
688796,WINDOW_START,2025-12-01,17
688802,WINDOW_START,2025-12-01,17
688805,WINDOW_START,2025-12-01,17
688807,WINDOW_START,2025-12-01,17
