trade_date,total_mainlines,state_counts,top_trend_expansion,top_top_decay,risk_off_flag,row_count_written
2010-05-19,204,"{'BOTTOM_REPAIR': 173, 'DIFFUSION': 24, 'TOP_DECAY': 7}",N/A,851112.SI(rank=198); 852213.SI(rank=198); 851511.SI(rank=200); 850442.SI(rank=201); 851314.SI(rank=202),NO,204
2010-05-20,205,"{'RISK_OFF': 143, 'UNKNOWN': 49, 'TOP_DECAY': 13}",N/A,859721.SI(rank=51); 851027.SI(rank=52); 850912.SI(rank=74); 852112.SI(rank=88); 852214.SI(rank=160),YES,205
2010-05-21,204,"{'BOTTOM_REPAIR': 155, 'DIFFUSION': 48, 'TOP_DECAY': 1}",N/A,857111.SI(rank=204),NO,204
2010-05-24,205,"{'BOTTOM_REPAIR': 151, 'DIFFUSION': 53, 'TOP_DECAY': 1}",N/A,850924.SI(rank=205),NO,205
2010-05-25,205,"{'RISK_OFF': 192, 'UNKNOWN': 7, 'TOP_DECAY': 6}",N/A,857651.SI(rank=47); 850331.SI(rank=107); 850321.SI(rank=158); 850614.SI(rank=167); 850345.SI(rank=202),YES,205
2010-05-26,205,"{'BOTTOM_REPAIR': 176, 'DIFFUSION': 26, 'TOP_DECAY': 3}",N/A,850521.SI(rank=203); 857692.SI(rank=204); 851511.SI(rank=205),NO,205
2010-05-27,205,"{'BOTTOM_REPAIR': 149, 'DIFFUSION': 54, 'TOP_DECAY': 2}",N/A,851741.SI(rank=204); 851761.SI(rank=205),NO,205
2010-05-28,204,"{'BOTTOM_REPAIR': 173, 'DIFFUSION': 23, 'TOP_DECAY': 8}",N/A,851314.SI(rank=197); 857692.SI(rank=198); 850721.SI(rank=199); 850343.SI(rank=200); 850321.SI(rank=201),NO,204
2010-05-31,205,"{'RISK_OFF': 175, 'UNKNOWN': 22, 'TOP_DECAY': 8}",N/A,850912.SI(rank=73); 850331.SI(rank=128); 851312.SI(rank=173); 851412.SI(rank=175); 850351.SI(rank=192),YES,205
2010-06-01,205,"{'UNKNOWN': 123, 'RISK_OFF': 79, 'TOP_DECAY': 3}",N/A,851511.SI(rank=196); 851721.SI(rank=204); 850122.SI(rank=205),YES,205
2010-06-02,205,"{'BOTTOM_REPAIR': 155, 'DIFFUSION': 50}",N/A,N/A,NO,205
2010-06-03,203,"{'RISK_OFF': 166, 'UNKNOWN': 31, 'TOP_DECAY': 6}",N/A,852034.SI(rank=76); 851542.SI(rank=108); 857111.SI(rank=111); 851312.SI(rank=193); 850521.SI(rank=202),YES,203
2010-06-04,205,"{'BOTTOM_REPAIR': 168, 'DIFFUSION': 37}",N/A,N/A,NO,205
2010-06-07,205,"{'RISK_OFF': 141, 'UNKNOWN': 56, 'TOP_DECAY': 8}",N/A,851512.SI(rank=59); 851161.SI(rank=96); 859712.SI(rank=98); 851413.SI(rank=167); 850322.SI(rank=174),YES,205
2010-06-08,205,"{'BOTTOM_REPAIR': 175, 'DIFFUSION': 29, 'TOP_DECAY': 1}",N/A,851042.SI(rank=205),NO,205
2010-06-09,205,"{'BOTTOM_REPAIR': 155, 'DIFFUSION': 48, 'TOP_DECAY': 2}",N/A,850122.SI(rank=204); 851614.SI(rank=205),NO,205
2010-06-10,204,"{'BOTTOM_REPAIR': 169, 'DIFFUSION': 27, 'TOP_DECAY': 8}",N/A,851542.SI(rank=197); 850923.SI(rank=198); 851511.SI(rank=199); 852021.SI(rank=200); 851731.SI(rank=201),NO,204
2010-06-11,205,"{'RISK_OFF': 111, 'UNKNOWN': 88, 'TOP_DECAY': 6}",N/A,852213.SI(rank=90); 851027.SI(rank=91); 850614.SI(rank=104); 859712.SI(rank=109); 852131.SI(rank=140),YES,205
2010-06-17,204,"{'RISK_OFF': 102, 'UNKNOWN': 92, 'TOP_DECAY': 10}",N/A,850326.SI(rank=93); 851782.SI(rank=104); 850321.SI(rank=105); 851813.SI(rank=116); 851112.SI(rank=117),YES,204
2010-06-18,205,"{'RISK_OFF': 161, 'UNKNOWN': 35, 'TOP_DECAY': 9}",N/A,850725.SI(rank=153); 851542.SI(rank=178); 851761.SI(rank=199); 850841.SI(rank=200); 851610.SI(rank=201),YES,205
2010-06-21,205,"{'BOTTOM_REPAIR': 162, 'DIFFUSION': 43}",N/A,N/A,NO,205
2010-06-22,203,"{'BOTTOM_REPAIR': 162, 'DIFFUSION': 34, 'TOP_DECAY': 7}",N/A,851314.SI(rank=197); 851761.SI(rank=198); 857651.SI(rank=199); 851611.SI(rank=200); 850442.SI(rank=201),NO,203
2010-06-23,205,"{'RISK_OFF': 149, 'UNKNOWN': 52, 'TOP_DECAY': 4}",N/A,850831.SI(rank=78); 851025.SI(rank=101); 859631.SI(rank=146); 851751.SI(rank=204),YES,205
2010-06-24,204,"{'BOTTOM_REPAIR': 181, 'DIFFUSION': 23}",N/A,N/A,NO,204
2010-06-25,205,"{'RISK_OFF': 146, 'UNKNOWN': 49, 'TOP_DECAY': 10}",N/A,850344.SI(rank=71); 851112.SI(rank=100); 851511.SI(rank=120); 850122.SI(rank=139); 857111.SI(rank=168),YES,205
2010-06-28,205,"{'UNKNOWN': 122, 'RISK_OFF': 74, 'TOP_DECAY': 9}",N/A,851042.SI(rank=129); 851512.SI(rank=141); 851025.SI(rank=143); 850321.SI(rank=146); 852112.SI(rank=148),YES,205
2010-06-29,203,"{'RISK_OFF': 167, 'UNKNOWN': 29, 'TOP_DECAY': 7}",N/A,850831.SI(rank=184); 850343.SI(rank=198); 850716.SI(rank=199); 850331.SI(rank=200); 857236.SI(rank=201),YES,203
2010-06-30,205,"{'UNKNOWN': 152, 'RISK_OFF': 52, 'TOP_DECAY': 1}",N/A,851741.SI(rank=205),YES,205
2010-07-01,205,"{'UNKNOWN': 121, 'RISK_OFF': 84}",N/A,N/A,YES,205
2010-07-02,205,"{'UNKNOWN': 161, 'RISK_OFF': 44}",N/A,N/A,YES,205
2010-07-05,205,"{'RISK_OFF': 103, 'UNKNOWN': 100, 'TOP_DECAY': 2}",N/A,851811.SI(rank=116); 857236.SI(rank=148),YES,205
2010-07-06,205,"{'BOTTOM_REPAIR': 158, 'DIFFUSION': 47}",N/A,N/A,NO,205
2010-07-07,205,"{'BOTTOM_REPAIR': 168, 'DIFFUSION': 36, 'TOP_DECAY': 1}",N/A,857651.SI(rank=205),NO,205
2010-07-08,205,"{'RISK_OFF': 164, 'UNKNOWN': 37, 'TOP_DECAY': 4}",N/A,850339.SI(rank=84); 851614.SI(rank=197); 851121.SI(rank=203); 859632.SI(rank=205),YES,205
2010-07-09,205,"{'BOTTOM_REPAIR': 158, 'DIFFUSION': 47}",N/A,N/A,NO,205
2010-07-12,205,"{'BOTTOM_REPAIR': 169, 'DIFFUSION': 34, 'TOP_DECAY': 2}",N/A,852141.SI(rank=204); 851511.SI(rank=205),NO,205
2010-07-13,205,"{'RISK_OFF': 179, 'UNKNOWN': 26}",N/A,N/A,YES,205
2010-07-14,205,"{'BOTTOM_REPAIR': 178, 'DIFFUSION': 26, 'TOP_DECAY': 1}",N/A,850741.SI(rank=205),NO,205
2010-07-15,205,"{'RISK_OFF': 178, 'UNKNOWN': 19, 'TOP_DECAY': 8}",N/A,852311.SI(rank=110); 851542.SI(rank=178); 851511.SI(rank=181); 850111.SI(rank=195); 851711.SI(rank=202),YES,205
2010-07-16,205,"{'BOTTOM_REPAIR': 169, 'DIFFUSION': 36}",N/A,N/A,NO,205
2010-07-19,205,"{'BOTTOM_REPAIR': 157, 'DIFFUSION': 48}",N/A,N/A,NO,205
2010-07-20,204,"{'BOTTOM_REPAIR': 153, 'DIFFUSION': 50, 'TOP_DECAY': 1}",N/A,850912.SI(rank=204),NO,204
2010-07-21,205,"{'BOTTOM_REPAIR': 185, 'DIFFUSION': 19, 'TOP_DECAY': 1}",N/A,851931.SI(rank=205),NO,205
2010-07-22,205,"{'BOTTOM_REPAIR': 164, 'DIFFUSION': 40, 'TOP_DECAY': 1}",N/A,850924.SI(rank=205),NO,205
2010-07-23,205,"{'RISK_OFF': 164, 'UNKNOWN': 36, 'TOP_DECAY': 5}",N/A,850731.SI(rank=54); 851782.SI(rank=64); 850172.SI(rank=93); 850337.SI(rank=110); 857382.SI(rank=205),YES,205
2010-07-26,205,"{'BOTTOM_REPAIR': 167, 'DIFFUSION': 37, 'TOP_DECAY': 1}",N/A,859511.SI(rank=205),NO,205
2010-07-27,205,"{'RISK_OFF': 159, 'UNKNOWN': 44, 'TOP_DECAY': 2}",N/A,857651.SI(rank=76); 850325.SI(rank=205),YES,205
2010-07-28,204,"{'BOTTOM_REPAIR': 156, 'DIFFUSION': 48}",N/A,N/A,NO,204
2010-07-29,204,"{'BOTTOM_REPAIR': 179, 'DIFFUSION': 23, 'TOP_DECAY': 2}",N/A,850351.SI(rank=203); 850841.SI(rank=204),NO,204
2010-07-30,204,"{'RISK_OFF': 121, 'UNKNOWN': 79, 'TOP_DECAY': 4}",N/A,851813.SI(rank=82); 851511.SI(rank=84); 850442.SI(rank=140); 851611.SI(rank=146),YES,204
2010-08-02,204,"{'BOTTOM_REPAIR': 161, 'DIFFUSION': 43}",N/A,N/A,NO,204
2010-08-03,204,"{'RISK_OFF': 195, 'UNKNOWN': 5, 'TOP_DECAY': 4}",N/A,851611.SI(rank=160); 850331.SI(rank=189); 851131.SI(rank=199); 850333.SI(rank=202),YES,204
2010-08-04,205,"{'BOTTOM_REPAIR': 170, 'DIFFUSION': 35}",N/A,N/A,NO,205
2010-08-05,203,"{'BOTTOM_REPAIR': 171, 'DIFFUSION': 28, 'TOP_DECAY': 4}",N/A,850924.SI(rank=200); 850913.SI(rank=201); 851312.SI(rank=202); 850771.SI(rank=203),NO,203
2010-08-06,204,"{'BOTTOM_REPAIR': 160, 'DIFFUSION': 44}",N/A,N/A,NO,204
2010-08-09,203,"{'BOTTOM_REPAIR': 162, 'DIFFUSION': 38, 'TOP_DECAY': 3}",N/A,851121.SI(rank=201); 851614.SI(rank=202); 851931.SI(rank=203),NO,203
2010-08-10,203,"{'RISK_OFF': 193, 'UNKNOWN': 6, 'TOP_DECAY': 4}",N/A,850333.SI(rank=178); 850923.SI(rank=196); 850925.SI(rank=201); 851412.SI(rank=203),YES,203
2010-08-11,204,"{'BOTTOM_REPAIR': 163, 'DIFFUSION': 41}",N/A,N/A,NO,204
2010-08-12,204,"{'RISK_OFF': 184, 'UNKNOWN': 15, 'TOP_DECAY': 5}",N/A,852021.SI(rank=75); 852131.SI(rank=77); 851612.SI(rank=103); 850741.SI(rank=105); 857236.SI(rank=204),YES,204
2010-08-13,204,"{'BOTTOM_REPAIR': 164, 'DIFFUSION': 40}",N/A,N/A,NO,204
2010-08-16,204,"{'BOTTOM_REPAIR': 156, 'DIFFUSION': 46, 'TOP_DECAY': 2}",N/A,851314.SI(rank=203); 851542.SI(rank=204),NO,204
