trade_date,tracked_mainline_count,danger_ratio,tc_ratio,diffusion_warning_ratio,low_diffusion_background_ratio,market_regime,p12c_noise_flag,p12c_tc_sparse_flag,p12c_meta_comment
2025-01-02,152,82.24,0.00,82.24,17.76,RANGE_CHOP_HIGH,YES,YES,danger_ratio=82.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-22,153,90.85,0.00,90.85,9.15,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-23,147,74.15,0.00,74.15,25.85,RANGE_CHOP_HIGH,YES,YES,danger_ratio=74.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-24,153,89.54,0.00,89.54,10.46,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-25,159,72.33,0.00,72.33,27.67,RANGE_CHOP_HIGH,YES,YES,danger_ratio=72.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-28,160,96.88,0.00,96.88,3.12,DEFENSIVE_SHIFT,YES,YES,danger_ratio=96.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-29,156,69.23,0.00,69.23,30.77,RANGE_CHOP_MID,YES,YES,danger_ratio=69.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-04-30,153,79.08,0.00,79.08,20.92,RANGE_CHOP_HIGH,YES,YES,danger_ratio=79.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-06,149,49.66,0.00,49.66,50.34,RANGE_CHOP_LOW,NO,YES,tc_ratio=0.00% < 1.0%
2025-05-07,148,83.11,0.00,83.11,16.89,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-08,148,59.46,0.00,59.46,40.54,RANGE_CHOP_MID,YES,YES,danger_ratio=59.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-09,149,93.96,0.00,93.96,6.04,RANGE_CHOP_HIGH,YES,YES,danger_ratio=94.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-12,151,58.28,0.00,58.28,41.72,RANGE_CHOP_MID,YES,YES,danger_ratio=58.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-13,155,88.39,0.00,88.39,11.61,RANGE_CHOP_HIGH,YES,YES,danger_ratio=88.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-14,151,80.13,0.00,80.13,19.87,RANGE_CHOP_HIGH,YES,YES,danger_ratio=80.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-15,149,87.25,0.00,87.25,12.75,RANGE_CHOP_HIGH,YES,YES,danger_ratio=87.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-16,151,70.86,0.00,70.86,29.14,RANGE_CHOP_HIGH,YES,YES,danger_ratio=70.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-19,157,71.97,0.00,71.97,28.03,RANGE_CHOP_HIGH,YES,YES,danger_ratio=72.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-20,156,67.31,0.00,67.31,32.69,RANGE_CHOP_MID,YES,YES,danger_ratio=67.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-21,157,94.90,0.00,94.90,5.10,RANGE_CHOP_HIGH,YES,YES,danger_ratio=94.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-22,155,89.68,0.00,89.68,10.32,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-23,151,87.42,0.00,87.42,12.58,RANGE_CHOP_HIGH,YES,YES,danger_ratio=87.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-26,161,65.22,0.00,65.22,34.78,RANGE_CHOP_MID,YES,YES,danger_ratio=65.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-27,156,82.69,0.00,82.69,17.31,RANGE_CHOP_HIGH,YES,YES,danger_ratio=82.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-28,149,82.55,0.00,82.55,17.45,RANGE_CHOP_HIGH,YES,YES,danger_ratio=82.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-29,150,56.67,0.00,56.67,43.33,RANGE_CHOP_MID,YES,YES,danger_ratio=56.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-05-30,147,95.24,0.00,95.24,4.76,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-03,150,58.67,0.00,58.67,41.33,RANGE_CHOP_MID,YES,YES,danger_ratio=58.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-04,151,66.23,0.00,66.23,33.77,RANGE_CHOP_MID,YES,YES,danger_ratio=66.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-05,152,80.26,0.00,80.26,19.74,RANGE_CHOP_HIGH,YES,YES,danger_ratio=80.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-06,146,79.45,0.00,79.45,20.55,RANGE_CHOP_HIGH,YES,YES,danger_ratio=79.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-09,146,63.01,0.00,63.01,36.99,RANGE_CHOP_MID,YES,YES,danger_ratio=63.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-10,144,95.83,0.00,95.83,4.17,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-11,140,57.14,0.00,57.14,42.86,RANGE_CHOP_MID,YES,YES,danger_ratio=57.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-12,143,85.31,0.00,85.31,14.69,RANGE_CHOP_HIGH,YES,YES,danger_ratio=85.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-13,146,86.99,0.00,86.99,13.01,RANGE_CHOP_HIGH,YES,YES,danger_ratio=87.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-16,146,60.27,0.00,60.27,39.73,RANGE_CHOP_MID,YES,YES,danger_ratio=60.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-17,146,85.62,0.00,85.62,14.38,RANGE_CHOP_HIGH,YES,YES,danger_ratio=85.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-18,143,81.82,0.00,81.82,18.18,RANGE_CHOP_HIGH,YES,YES,danger_ratio=81.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-19,144,95.14,0.00,95.14,4.86,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-20,149,79.87,0.00,79.87,20.13,RANGE_CHOP_HIGH,YES,YES,danger_ratio=79.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-23,150,64.00,0.00,64.00,36.00,RANGE_CHOP_MID,YES,YES,danger_ratio=64.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-24,153,65.36,0.00,65.36,34.64,RANGE_CHOP_MID,YES,YES,danger_ratio=65.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-25,151,82.78,0.00,82.78,17.22,RANGE_CHOP_HIGH,YES,YES,danger_ratio=82.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-26,153,88.24,0.00,88.24,11.76,RANGE_CHOP_HIGH,YES,YES,danger_ratio=88.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-27,148,56.76,0.00,56.76,43.24,RANGE_CHOP_MID,YES,YES,danger_ratio=56.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-06-30,149,63.09,0.00,63.09,36.91,RANGE_CHOP_MID,YES,YES,danger_ratio=63.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-01,149,85.23,0.00,85.23,14.77,RANGE_CHOP_HIGH,YES,YES,danger_ratio=85.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-02,148,83.11,0.00,83.11,16.89,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-03,141,62.41,0.00,62.41,37.59,RANGE_CHOP_MID,YES,YES,danger_ratio=62.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-04,147,91.84,0.00,91.84,8.16,RANGE_CHOP_HIGH,YES,YES,danger_ratio=91.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-07,148,64.19,0.00,64.19,35.81,RANGE_CHOP_MID,YES,YES,danger_ratio=64.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-08,143,60.14,0.00,60.14,39.86,RANGE_CHOP_MID,YES,YES,danger_ratio=60.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-09,146,91.10,0.00,91.10,8.90,RANGE_CHOP_HIGH,YES,YES,danger_ratio=91.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-10,146,71.92,0.00,71.92,28.08,RANGE_CHOP_HIGH,YES,YES,danger_ratio=71.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-11,146,73.29,0.00,73.29,26.71,RANGE_CHOP_HIGH,YES,YES,danger_ratio=73.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-14,148,68.24,0.00,68.24,31.76,RANGE_CHOP_MID,YES,YES,danger_ratio=68.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-15,146,92.47,0.00,92.47,7.53,RANGE_CHOP_HIGH,YES,YES,danger_ratio=92.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-16,146,64.38,0.00,64.38,35.62,RANGE_CHOP_MID,YES,YES,danger_ratio=64.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-17,146,76.03,0.00,76.03,23.97,RANGE_CHOP_HIGH,YES,YES,danger_ratio=76.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-18,146,85.62,0.00,85.62,14.38,RANGE_CHOP_HIGH,YES,YES,danger_ratio=85.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-21,145,64.83,0.00,64.83,35.17,RANGE_CHOP_MID,YES,YES,danger_ratio=64.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-22,146,91.78,0.00,91.78,8.22,RANGE_CHOP_HIGH,YES,YES,danger_ratio=91.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-23,146,89.04,0.00,89.04,10.96,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-24,149,55.70,0.00,55.70,44.30,RANGE_CHOP_MID,YES,YES,danger_ratio=55.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-25,153,88.24,0.00,88.24,11.76,RANGE_CHOP_HIGH,YES,YES,danger_ratio=88.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-28,155,69.03,0.00,69.03,30.97,RANGE_CHOP_MID,YES,YES,danger_ratio=69.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-29,153,87.58,0.00,87.58,12.42,RANGE_CHOP_HIGH,YES,YES,danger_ratio=87.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-30,153,78.43,0.00,78.43,21.57,RANGE_CHOP_HIGH,YES,YES,danger_ratio=78.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-07-31,147,89.80,0.00,89.80,10.20,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-01,155,59.35,0.00,59.35,40.65,RANGE_CHOP_MID,YES,YES,danger_ratio=59.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-04,155,62.58,0.00,62.58,37.42,RANGE_CHOP_MID,YES,YES,danger_ratio=62.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-05,149,75.17,0.00,75.17,24.83,RANGE_CHOP_HIGH,YES,YES,danger_ratio=75.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-06,155,78.71,0.00,78.71,21.29,RANGE_CHOP_HIGH,YES,YES,danger_ratio=78.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-07,148,83.78,0.00,83.78,16.22,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-08,148,68.92,0.00,68.92,31.08,RANGE_CHOP_MID,YES,YES,danger_ratio=68.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-11,153,61.44,0.00,61.44,38.56,RANGE_CHOP_MID,YES,YES,danger_ratio=61.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-12,157,95.54,0.00,95.54,4.46,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-13,148,66.22,0.00,66.22,33.78,RANGE_CHOP_MID,YES,YES,danger_ratio=66.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-14,152,96.05,0.00,96.05,3.95,DEFENSIVE_SHIFT,YES,YES,danger_ratio=96.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-15,161,55.90,0.00,55.90,44.10,RANGE_CHOP_MID,YES,YES,danger_ratio=55.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-18,155,77.42,0.00,77.42,22.58,RANGE_CHOP_HIGH,YES,YES,danger_ratio=77.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-19,150,80.67,0.00,80.67,19.33,RANGE_CHOP_HIGH,YES,YES,danger_ratio=80.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-20,149,65.77,0.00,65.77,34.23,RANGE_CHOP_MID,YES,YES,danger_ratio=65.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-21,143,90.91,0.00,90.91,9.09,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-22,149,77.85,0.00,77.85,22.15,RANGE_CHOP_HIGH,YES,YES,danger_ratio=77.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-25,150,71.33,0.00,71.33,28.67,RANGE_CHOP_HIGH,YES,YES,danger_ratio=71.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-26,159,83.02,0.00,83.02,16.98,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-27,155,95.48,0.00,95.48,4.52,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-28,149,77.18,0.00,77.18,22.82,RANGE_CHOP_HIGH,YES,YES,danger_ratio=77.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-08-29,152,90.79,0.00,90.79,9.21,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-01,152,69.08,0.00,69.08,30.92,RANGE_CHOP_MID,YES,YES,danger_ratio=69.1% > 50.0%; tc_ratio=0.00% < 1.0%
